Site_Number,Station_Name,Lat,Long,Ecoli,Enterococci,Type
20,Rock Creek,35.261,-97.336,12590,24196,Bacteria
21,Little River,35.282,-97.37,12947,24196,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,30,847,Bacteria
23,Dugout Creek,35.956,-97.016,119,1281,Bacteria
25,Stillwater Creek - E 68th,36.044,-96.947,85,959,Bacteria
4,Crutcho Creek,35.435,-97.475,173,670,Bacteria
5,Crooked Oak,35.284,-97.415,97,199,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,107,309,Bacteria
14,Uncle Johns Creek,35.828,-97.922,95,379,Bacteria
18,Gentry Creek,35.537,-95.676,226,420,Bacteria
4,Crutcho Creek,35.435,-97.475,29.6,122,Bacteria
5,Crooked Oak Creek,35.284,-97.415,4,115.2,Bacteria
6,West Elm Creek,35.334,-97.385,16.4,53.6,Bacteria
11,Turkey Creek,35.978,-97.923,20,352.8,Bacteria
16,Coody Creek,35.714,-95.322,86.4,63.2,Bacteria
20,Rock Creek,35.261,-97.336,84.4,120.4,Bacteria
2,Buggy Creek,35.31,-97.936,10.4,145.6,Bacteria
5,Crooked Oak Creek,35.435,-97.415,4839.2,1230.4,Bacteria
8,Deer Creek,35.755,-97.563,20.4,740,Bacteria
12,Trail Creek,35.898,-97.857,51.2,5654.4,Bacteria
15,Little Deep Fork Creek,35.828,-96.534,20.4,90.4,Bacteria
21,Little River ,35.282,-97.37,4,52.8,Bacteria
22,Canadian River Deep Fork,35.659,-97.245,4,447.6,Bacteria
22,Canadian River Deep Fork ,35.659,-97.245,2827.2,1038,Bacteria
4,Crutcho Creek,35.435,-97.475,8.2,0,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,18.6,0,Bacteria
9,Cottonwood Creek - Academy Rd,35.822,-97.46,6,0,Bacteria
13,Kingfisher Creek,35.858,-97.994,6.2,0,Bacteria
1,Walnut Creek,35.164,-97.614,35,96.4,Bacteria
7,Cottonwood @ HWY 74,35.775,-97.585,28.8,1045.2,Bacteria
14,Uncle Johns Creek,35.828,-97.922,16.4,943.6,Bacteria
6,West Elm Creek,35.334,-97.385,430,4813.2,Bacteria
10,West Beaver Creek,36.101,-97.444,328.2,524.7,Bacteria
12,Trail Creek,35.898,-97.857,68.7,658.6,Bacteria
21,Little River,35.282,-97.37,683,0,Bacteria
25,Stillwater Creek - E 68th,36.044,-96.947,754,0,Bacteria
3,Shell Creek,35.508,-97.79,31.1,0,Bacteria
5,Crooked Oak Creek,35.284,-97.415,154,0,Bacteria
20,Rock Creek,35.261,-97.336,58,0,Bacteria
8,Deer Creek,35.755,-97.563,305,1780,Bacteria
21,Little River,35.282,-97.37,18.5,0,Bacteria
4,Crutcho Creek,35.435,-97.475,4907,0,Bacteria
14,Uncle Johns Creek,35.828,-97.922,75.4,0,Bacteria
17,Butler Creek,35.581,-95.418,379,0,Bacteria
18,Gentry Creek,35.537,-95.676,0,153.6,Bacteria
23,Dugout Creek,35.956,-97.016,0,616.4,Bacteria
1,Walnut Creek,35.164,-97.614,35,96.4,Bacteria
6,West Elm Creek,35.334,-97.385,0,373.2,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,28.8,1045.2,Bacteria
10,West Beaver Creek,36.101,-97.444,0,2068.8,Bacteria
14,Uncle Johns Creek,35.828,-97.922,16.4,943.6,Bacteria
6,West Elm Creek,35.334,-97.385,430,4813.2,Bacteria
14,Uncle Johns Creek,35.828,-97.922,0,143,Bacteria
7,Cottonwood Creek - HWY 74,35.775,-97.585,0,1844.4,Bacteria
5,Crooked Oak Creek,35.284,-97.415,0,155.3,Bacteria
11,Turkey Creek,35.978,-97.923,0,0,Bacteria
14,Uncle Johns Creek,35.828,-97.922,0,0,Bacteria
21,Little River ,35.282,-97.37,0,0,Bacteria
10,West Beaver,36.101,-97.444,0,0,Bacteria
20,Rock Creek,35.261,-97.336,0,0,Bacteria
16,Coody Creek,35.714,-95.322,0,0,Bacteria
11,Turkey Creek,35.978,-97.923,0,0,Bacteria
3,Shell Creek,35.508,-97.79,0,0,Bacteria
2,Buggy Creek,35.31,-97.936,1,0,Bacteria
9,Cottonwood - Academy Rd,35.822,-97.46,0,0,Bacteria
16,Coody Creek,35.714,-95.322,0,0,Bacteria
25,Stillwater Creek - E 68th,36.044,-96.947,0,0,Bacteria
2,Buggy Creek,35.31,-97.936,0,0,Bacteria
9,Cottonwood - Academy Rd,35.822,-97.46,0,0,Bacteria
13,Kingfisher Creek,35.858,-97.994,0,0,Bacteria
25,Stillwater Creek - E 68th,36.044,-96.947,0,0,Bacteria
5,Crooked Oak Creek,35.284,-97.415,0,0,Bacteria
11,Turkey Creek,35.978,-97.923,0,0,Bacteria
15,Little Deep Fork Creek,35.828,-96.534,0,0,Bacteria
25,Stillwater - E 68th,36.044,-96.947,0,0,Bacteria
13,Kingfisher Creek,35.858,-97.994,0,0,Bacteria
16,Coody Creek,35.714,-95.322,0,0,Bacteria
14,Uncle Johns Creek,35.828,-97.922,0,0,Bacteria
2,Buggy Creek,35.31,-97.936,0,0,Bacteria
6,West Elm Creek,35.334,-97.385,0,0,Bacteria
16,Coody Creek,35.714,-95.322,0,0,Bacteria
7148400,"Salt Fork Arkansas River nr Alva, OK",36.81503056,-98.6481395,0,0,Streamflow
7149000,"MEDICINE LODGE R NR KIOWA, KS",37.03891547,-98.4709092,0,0,Streamflow
7149520,"Salt Fork Arkansas River at SH 11 nr Cherokee, OK",36.80555556,-98.2472222,0,0,Streamflow
7151000,"Salt Fork Arkansas River at Tonkawa, OK",36.6719792,-97.3094887,0,0,Streamflow
7151500,"CHIKASKIA R NR CORBIN, KS",37.12891225,-97.6019945,0,0,Streamflow
7152000,"Chikaskia River near Blackwell, OK",36.8114211,-97.277265,0,0,Streamflow
7152500,"Arkansas River at Ralston, OK",36.50421677,-96.7283672,0,0,Streamflow
7153000,"Black Bear Creek at Pawnee, OK",36.34366537,-96.7994788,0,0,Streamflow
7154500,"Cimarron River near Kenton, OK",36.92668707,-102.9590954,0,0,Streamflow
