Site_Number,Station_Name,Lat,Long,Type
07249413,"Poteau River near Panama, OK",35.16565268,-94.6530016,Streamflow
07249455,"Arkansas River at Ft. Smith, Ar.",35.3917577,-94.4324373,Streamflow
07249800,"Lee Creek at Short, OK",35.5658333,-94.5319444,Streamflow
07249920,"Little Lee Creek near Nicut, OK",35.57305556,-94.5569444,Streamflow
07249985,"Lee Creek near Short, OK",35.5172222,-94.4641667,Streamflow
07250550,"AR River at James W. Trimble L&D nr Van Buren, AR",35.34888889,-94.2983333,Streamflow
07300000,"Salt Fk Red Rv nr Wellington, TX",34.95755294,-100.220949,Streamflow
07300500,"Salt Fork Red River at Mangum, OK",34.85839374,-99.5087007,Streamflow
07301110,"Salt Fork Red River near Elmer, OK",34.47896485,-99.38231,Streamflow
07301300,"N Fk Red Rv nr Shamrock, TX",35.2642163,-100.2417855,Streamflow
07301410,"Sweetwater Ck nr Kelton, TX",35.47310419,-100.1209501,Streamflow
07301420,"Sweetwater Creek near Sweetwater, OK",35.42227237,-99.9692772,Streamflow
07301500,"North Fork Red River near Carter, OK",35.16810838,-99.5073128,Streamflow
07303000,"North Fork Red River blw Altus Dam nr Lugert, OK",34.88950479,-99.307028,Streamflow
07303400,"Elm Fork of North Fork Red River nr Carl, OK",35.01172,-99.9037143,Streamflow
07305000,"North Fork Red River near Headrick, OK",34.6381266,-99.103691,Streamflow
07307028,"North Fork Red River near Tipton, OK",34.50702089,-99.2081389,Streamflow
07309990,"East Cache Creek nr Lawton, OK",34.59416667,-98.3691667,Streamflow
07311000,"East Cache Creek near Walters, OK",34.36230747,-98.2825468,Streamflow
07311240,"West Cache Creek near Cookietown, OK",34.275,-98.3875,Streamflow
07311500,"Deep Red Creek near Randlett, OK",34.22092454,-98.4531104,Streamflow
07315500,"Red Rv nr Terral, OK",33.8787106,-97.9344798,Streamflow
07315700,"Mud Creek near Courtney, OK",34.00426516,-97.566968,Streamflow
07316000,"Red River near Gainesville, TX",33.7278833,-97.1600129,Streamflow
07316500,"Washita River near Cheyenne, OK",35.62643705,-99.6684386,Streamflow
07324200,"Washita River near Hammon, OK",35.65643696,-99.3062086,Streamflow
07324400,"Washita River near Foss, OK",35.5389379,-99.1698128,Streamflow
07325000,"Washita River near Clinton, OK",35.5308832,-98.9670296,Streamflow
07325800,"Cobb Creek near Eakly, OK",35.2906111,-98.5942308,Streamflow
07325840,"Lake Creek near Sickles, OK",35.39172078,-98.5178418,Streamflow
07325850,"Lake Creek near Eakly, OK",35.29088918,-98.5292287,Streamflow
07325860,"Willow Creek near Albert, OK",35.23339066,-98.4661702,Streamflow
07326000,"Cobb Creek near Fort Cobb, OK",35.14367036,-98.4428358,Streamflow
07326500,"Washita River at Anadarko, OK",35.08422846,-98.2433849,Streamflow
07327442,"Little Washita River near Cyril, OK",34.89256647,-98.2331053,Streamflow
07327447,"Little Washita River near Cement, OK",34.83784678,-98.1244903,Streamflow
07327550,"Little Washita River East of Ninnekah, OK",34.9634007,-97.8994861,Streamflow
07328100,"Washita River at Alex, OK",34.92590298,-97.7739273,Streamflow
07328180,"North Criner Creek near Criner, OK",34.9714592,-97.5847555,Streamflow
07328500,"Washita River near Pauls Valley, OK",34.75480245,-97.2514124,Streamflow
07329780,"Honey Creek below Turner Falls near Davis, OK",34.4317552,-97.1472406,Streamflow
07329849,"01S-03E-01 ABB 1 Antelope Spring at Sulphur, OK",34.50444444,-96.9411111,Streamflow
73298507,Travertine Creek above U.S. 177 at Sulphur,34.50444444,-96.9688889,Streamflow
07329852,"Rock Creek at Sulphur, OK",34.49536695,-96.9886281,Streamflow
07331000,"Washita River near Dickson, OK",34.23342725,-96.9758447,Streamflow
07331200,"Mill Creek near Mill Creek, OK",34.40509165,-96.8633439,Streamflow
07331295,"Pennington Creek East of Mill Creek, OK",34.42036998,-96.7588959,Streamflow
07331300,"Pennington Creek near Reagan, OK",34.3513333,-96.7103889,Streamflow
07331383,"Pennington Creek at Capitol Ave at Tishomingo, OK",34.2347222,-96.6825,Streamflow
07331600,"Red River at Denison Dam nr Denison, TX",33.81899124,-96.5633264,Streamflow
07332390,"Blue River near Connerville, OK",34.383426,-96.6005579,Streamflow
07332500,"Blue River near Blue, OK",33.99704088,-96.2410985,Streamflow
07334000,"Muddy Boggy Creek near Farris, OK",34.27148539,-95.9122049,Streamflow
07334238,"Sheep Creek Spring near Fittstown, OK",34.57305556,-96.6475,Streamflow
07334800,"Clear Boggy Creek abv Caney Creek nr Caney, OK",34.2550899,-96.2127678,Streamflow
